NEWID,FINCATAX
977915,1460
977925,46870
977935,46000
977975,54300
977995,70400
978005,0
978045,0
978095,55700
978105,35700
978115,45504
978135,0
978145,96900
978205,78915
978225,43233
978235,103775
978255,100642
978275,47173
978285,0
978295,8088
978325,50494
978335,108000
978355,28000
978365,0
978415,57447
978435,18500
978445,0
978455,75000
978485,0
978495,0
978515,6000
978565,0
978575,0
978585,0
978595,15960
978605,15528
978665,16083
978675,9000
978695,20837
978705,146665
978725,55460
978735,0
978745,104519
978755,118604
978765,52817
978785,50479
978795,106435
978805,73541
978835,47848
978875,35000
978895,26862
978905,9817
978915,280
978975,546
978995,20804
979005,100120
979015,0
979025,15559
979065,28050
979085,14946
979105,34933
979165,122390
979185,47236
979195,6586
979205,54680
979255,33334
979275,60800
979295,0
979305,18654
979325,0
979335,54941
979345,42070
979355,10176
979365,0
979385,43934
979395,-902
979405,14154
979415,0
979425,64602
979435,23255
979445,0
979455,54100
979465,97500
979485,2900
979505,14346
979525,0
979535,14870
979555,42051
979575,56580
979585,34000
979595,25431
979615,43600
979635,55776
979645,6284
979675,260209
979695,94000
979715,102000
979735,14796
979755,40316
979765,44753
979805,56750
979825,4500
979835,48000
979875,91429
979915,55220
979925,8816
979945,8886
979955,70980
979985,0
980005,0
980015,47919
980025,5034
980045,10560
980065,64856
980075,11400
980085,10838
980105,41260
980115,47244
980155,27874
980165,43563
980175,6088
980215,10614
980245,60800
980255,25500
980265,37000
980335,15888
980345,19816
980375,70528
980395,20000
980405,0
980415,18546
980425,59122
980465,6666
980475,114709
980485,0
980505,10791
980525,52173
980535,0
980555,0
980585,0
980625,0
980635,37500
980645,-2100
980655,83000
980665,0
980675,57350
980695,33492
980705,-5250
980715,18319
980725,57200
980735,31964
980785,48188
980795,30000
980805,52077
980825,8490
980845,50184
980855,900
980865,26125
980875,10892
980895,1476
980905,126000
980925,0
980935,22461
980945,60750
980955,46298
980965,8886
980995,60980
981005,29569
981015,6441
981025,19500
981065,63179
981075,11879
981095,85898
981105,74000
981115,61060
981145,34800
981155,28212
981165,13185
981175,70759
981195,24001
981205,18876
981235,19746
981245,38000
981265,0
981285,0
981305,3805
981315,66810
981355,80000
981375,90275
981385,21370
981415,0
981425,0
981435,58321
981445,99529
981455,54080
981465,70500
981495,57083
981505,0
981515,9243
981535,28046
981545,24338
981595,0
981635,32000
981655,20960
981675,120000
981685,33254
981695,10172
981705,40000
981735,70200
981755,38262
981765,5580
981775,0
981785,17820
981795,0
981845,46118
981855,23000
981885,29385
981905,136427
981985,879
981995,34400
982055,32036
982065,38290
982095,22692
982105,11616
982115,7300
982135,27500
982155,6930
982195,26700
982205,39029
982215,30225
982225,-300
982265,0
982285,6042
982305,68419
982335,20883
982365,291209
982385,68670
982395,0
982425,6000
982445,21611
982455,54973
982465,9954
982485,22692
982505,58440
982555,60681
982575,50000
982585,27099
982595,26000
982615,7058
982635,16550
982645,546
982685,12000
982695,28272
982735,18944
982745,68000
982765,21840
982775,0
982795,38300
982915,15200
982925,44292
982935,5946
982945,4164
982965,40000
982975,35920
983005,30
983015,16344
983045,34750
983055,39433
983075,661
983105,37266
983135,67185
983145,0
983165,0
983175,32601
983185,31436
983205,60842
983215,4000
983225,46521
983245,32161
983255,28332
983265,64308
983275,47454
983305,47262
983325,-11700
983335,28184
983345,0
983385,59125
983395,8220
983405,14106
983425,0
983435,28272
983445,50579
983455,15328
983485,57072
983495,0
983515,9788
983535,86300
983565,74213
983575,546
983595,15534
983615,32001
983625,53773
983645,23388
983655,-40
983665,10848
983695,153300
983745,83000
983785,77500
983795,31500
983805,36220
983815,0
983835,45084
983855,14445
983865,1304
983875,18000
983885,44320
983895,670
983905,15209
983935,49000
983945,23127
983955,56246
983965,546
983975,72212
983985,70298
983995,546
984015,26618
984055,70000
984095,223839
984145,67590
984155,63530
984165,32771
984175,65397
984185,20000
984195,44825
984225,20565
984255,35000
984275,17806
984285,84150
984315,39208
984345,14292
984355,36346
984375,132860
984395,20294
984405,0
984415,19200
984455,49166
984465,17142
984475,27511
984485,11634
984495,11580
984535,37062
984545,151730
984575,101491
984625,31549
984635,0
984655,0
984675,9515
984685,7236
984695,268009
984725,109500
984745,18720
984755,0
984765,14000
984775,42720
984795,53425
984805,12692
984825,0
984845,24705
984855,90000
984885,0
984925,0
984935,105520
984955,10772
984975,15657
984985,111800
984995,78121
985005,249749
985015,78384
985075,34000
985095,0
985105,46676
985125,46200
985135,0
985145,300200
985155,75300
985185,0
985195,47574
985215,0
985225,55694
985255,28352
985265,10086
985335,108700
985345,15000
985375,49568
985405,5915
985415,546
985475,34708
985505,93446
985535,9537
985555,36514
985565,89847
985585,21496
985595,11346
985635,31019
985665,0
985685,28516
985705,61219
985715,28224
985725,81134
985735,3600
985755,-1473
985795,8521
985805,2500
985815,1800
985855,0
985915,283827
985925,19476
985955,21176
985995,37000
986015,1014
986025,0
986035,24840
986065,63150
986085,51483
986095,85320
986105,73000
986125,45200
986175,0
986205,6771
986225,93773
986235,546
986255,17317
986285,0
986305,25176
986315,10616
986325,86000
986365,47627
986385,26657
986395,22530
986415,39738
986435,12146
986495,38000
986525,21057
986535,36000
986545,18407
986565,23337
986575,47922
986595,12492
986615,0
986625,15546
986645,0
986665,7146
986685,0
986695,0
986715,102761
986725,22000
986775,4400
986795,0
986805,8946
986815,116425
986825,75349
986835,28594
986845,56000
986875,13840
986895,74129
986935,81729
986965,57350
986975,99066
986995,10613
987005,546
987015,21251
987025,480
987035,50116
987045,14680
987095,0
987105,93000
987115,570
987135,66959
987145,31468
987155,2608
987185,12640
987195,44500
987205,0
987235,0
987245,6546
987265,47972
987315,0
987355,11655
987375,74124
987395,89403
987455,58482
987495,141000
987505,0
987535,125300
987545,77877
987565,92900
987605,90865
987615,13470
987645,0
987655,27000
987665,71200
987675,9546
987685,42000
987695,59367
987705,0
987715,63546
987745,14610
987765,0
987775,53983
987785,1092
987795,26020
987815,0
987835,111010
987845,54492
987855,26424
987865,11139
987885,15900
987925,10802
987975,0
987985,32106
987995,14539
988015,41506
988025,84000
988035,1092
988045,0
988075,47803
988135,45493
988155,34309
988165,29585
988205,103356
988215,0
988225,0
988245,0
988285,73059
988295,16365
988305,64318
988335,84449
988345,0
988405,10869
988425,123000
988445,22077
988455,0
988465,81865
988475,75500
988495,28221
988505,14132
988515,200000
988545,55494
988575,19380
988585,9406
988595,-4000
988615,47317
988645,7934
988675,19563
988695,47974
988715,0
988725,20650
988735,31425
988745,13150
988755,96601
988765,0
988775,0
988805,39310
988815,0
988835,40050
988865,53944
988875,55120
988895,70000
988905,331886
988955,37000
988975,67597
988985,29432
989005,0
989045,16420
989115,97214
989145,15125
989155,16200
989175,1092
989215,96981
989235,65667
989255,98881
989265,69170
989275,22000
989305,2968
989315,0
989355,16696
989385,0
989395,61100
989405,35250
989415,36410
989425,40255
989435,17568
989475,0
989485,0
989495,0
989525,23898
989535,73700
989565,41389
989605,0
989615,10146
989625,76665
989655,8574
989675,40210
989695,546
989715,24823
989755,54356
989795,22140
989805,25000
989815,41430
989835,66693
989845,81800
989875,78100
989885,22306
989895,30750
989915,35000
989925,12426
989935,17118
989945,21560
989985,11000
989995,41321
990005,22979
990055,101851
990095,23493
990125,6500
990135,11156
990225,54333
990255,65000
990265,69461
990305,27056
990325,27984
990345,8388
990355,23992
990365,18093
990375,37455
990385,74901
990415,0
990435,47151
990455,4146
990465,11658
990475,6037
