NEWID,FINATXEM
05090604,40677
05090624,13787
05090634,107059
05090664,57932.4
05090674,36475
05090694,61228.4
05090704,120623.8
05090724,16399
05090764,11048
05090784,26189
05090824,35939
05090834,36419.2
05090844,48427.8
05090854,15407
05090904,86625.8
05090914,117152
05091034,43760
05091064,93551
05091094,38716
05091114,99800.2
05091124,60415
05091174,125413
05091214,59732
05091294,93817
05091304,113897.6
05091324,152343.2
05091364,43898.4
05091404,132689.9
05091454,3096
05091464,115892.8
05091484,45958
05091504,53405
05091544,163908.4
05091584,113470.6
05091624,288324.2
05091654,29104
05091684,130464
05091734,292503.6
05091764,36882
05091784,219549
05091814,36932
05091844,129289
05091874,143298.6
05091894,106846
05091924,73236
05091954,39560
05091964,49077
05091974,12448
05092144,119477
05092164,108416.6
05092234,36112.2
05092244,261546.6
05092264,36998
05092274,341295.4
05092284,26297
05092324,46649
05092394,109153
05092404,248791.6
05092424,29579
05092454,17622
05092504,47124
05092614,-1432.2
05092704,15234
05092734,37463.4
05092754,55739
05092764,35023
05092784,46558
05092804,101259.3
05092904,16326.2
05092944,2400.6
05092964,190492.6
05093004,97472.6
05093064,60398
05093114,135752
05093204,143721
05093224,48988
05093244,151909.8
05093284,0
05093344,35983
05093354,75043
05093364,192101
05093374,49332
05093414,123646.2
05093494,82841
05093534,215879
05093664,23220
05093674,94975.4
05093694,43782
05093704,89867.2
05093714,28679.6
05093784,5937.8
05093794,97195.4
05093804,140860.2
05093824,84201.6
05093834,232757.6
05093884,302210.8
05093894,30208
05093904,127271
05093944,100652
05093964,170422
05094044,42172
05094064,123106
05094104,393658.2
05094134,14994
05094144,43151
05094164,182900
05094184,22650
05094224,16800
05094234,59825.4
05094264,90222.4
05094314,210789
05094364,4491
05094374,174917.6
05094404,0
05094414,24758
05094494,239649.2
05094504,64055
05094514,81390
05094544,128724.4
05094554,40858
05094674,91382.8
05094684,25977.4
05094734,293455
05094754,3768
05094824,180379
05094874,75912
05094904,167647.2
05094914,122271
05094934,39118
05095014,1200
05095034,8038
05095054,42348
05095084,75779
05095144,23568.6
05095154,72675
05095224,115531.4
05095244,23927
05095264,12000
05095274,76580
05095294,67965
05095324,94357
05095344,64358
05095354,51949.6
05095374,22432
05095444,120787
05095544,41690
05095564,209921
05095594,62776.4
05095634,60377
05095674,318742.9
05095744,118357
05095784,39745
05095794,77661.6
05095844,74402
05095854,153882.6
05095884,46099.2
05096024,73093
05096064,23452
05096124,36826
05096144,96313
05096174,65216
05096244,104768
05096254,37176
05096274,78058
05096344,149242
05096354,438261.2
05096364,98386
05096424,80760.4
05096464,73298.8
05096564,69921
05096574,61304
05096664,15750
05096684,192733
05096714,89764.4
05096724,122218
05096754,43705
05096764,260767
05096784,32986
05096804,123882.6
05096834,15791
05096854,6408
05096864,45278
05096884,7786
05096914,39958
05096924,74212.6
05096944,89004
05096954,41002.2
05096984,126157
05097004,19719.8
05097034,40030
05097084,62857
05097134,57718.8
05097144,12289
05097164,40591
05097234,132366.4
05097274,189063.2
05097294,93321
05097334,83677.4
05097354,17548
05097364,31579
05097374,3478.2
05097404,74555
05097424,40990
05097434,98291
05097554,136074
05097584,36479
05097604,27391
05097614,12619
05097624,52178.4
05097644,23257
05097664,78876
05097694,48965
05097704,31983
05097724,91067.4
05097734,76614.2
05097784,114348
05097794,70628
05097804,70918
05097834,36358
05097874,754
05097934,168134
05097944,12307
05098044,131465.6
05098054,285360
05098064,72122
05098094,38076
05098114,3400
05098164,52289
05098174,155196
05098204,134851
05098244,26605
05098264,108779
05098284,46265
05098294,25665
05098304,22096.4
05098314,153758.2
05098344,58195.4
05098364,45004
05098394,28280
05098454,49922
05098464,76710
05098494,42727.8
05098504,19390.6
05098514,53067
05098524,84621
05098564,122115.6
05098604,36195
05098614,104263
05098634,72766.6
05098674,278879.8
05098684,17087
05098694,96078.2
05098714,310694.9
05098734,28186
05098764,73728
05098774,22931.8
05098814,36838
05098854,135901.2
05098884,43365
05098894,69530.8
05098954,20539
05098994,20336
05099004,100874.6
05099024,15841
05099034,13956
05099044,55527.8
05099054,29158
05099144,69736.2
05099204,104332.8
05099264,132726
05099274,100630
05099314,33121
05099364,69572
05099374,121230.2
05099394,78769.2
05099454,241168.6
05099474,64309
05099534,32279
05099564,81328.8
05099594,38513.2
05099614,61122
05099634,45526
05099644,53033.6
05099664,69471.8
05099704,71429
05099714,30947.2
05099794,24465.6
05099874,47063.6
05099894,49511
05099904,420336.2
05099944,235559
05099994,14916
05100004,63279.6
05100054,24110
05100074,41182
05100174,204931.6
05100184,45727
05100194,-73
05100234,160043
05100264,121394.6
05100274,12172
05100304,49664
05100354,73503
05100374,80431.8
05100414,209292.6
05100464,48322
05100484,35669.2
05100494,150644
05100524,15040
05100574,75543
05100584,155544.4
05100674,319722
05100684,44372
05100714,38057
05100814,98153
05100824,72648
05100934,116068
05100944,36137
05100954,123393
05100994,112615
05101004,141876
05101014,54358
05101064,56956.6
05101114,284224
05101124,75876
05101154,54918.4
05101214,219000
05101224,137303.8
05101254,92459.4
05101284,25870.4
05101314,251976.4
05101334,155721
05101394,80271.6
